ID,Format,Purpose,Date,Face,Description,Color,Perf,Designer,Printing,Printer,Issue,Wmk,Gum,Qty,SizeW,SizeH
1,,,1937-04-01,½a,Dhow,light green,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
2,,,1937-04-01,9p,Dhow,dark green,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
3,,,1937-04-01,1a,Dhow,blackish brown,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
4,,,1937-04-01,2a,Dhow,red,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
5,,,1937-04-01,2½a,Dhow,blue,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
6,,,1937-04-01,3a,Dhow,carmine rose,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
7,,,1937-04-01,3½a,Dhow,greyish blue,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
8,,,1937-04-01,8a,Dhow,purple,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
9,,,1937-04-01,1R,Dhow,brown,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
10,,,1937-04-01,2R,Dhow,orange yellow,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
11,,,1937-04-01,5R,Dhow,violet,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
12,,,1937-04-01,10R,Dhow,olive green,13 x 11½,,Engraving,De La Rue & Co.,1,Lying,,,,
13,,,1937-05-12,1a.,Coronation of George VI and Elizabeth,blackish brown,13½ x 14,,Engraving,De La Rue & Co.,2,Lying,,,,
14,,,1937-05-12,2½a.,Coronation of George VI and Elizabeth,blue,13½ x 14,,Engraving,De La Rue & Co.,2,Lying,,,,
15,,,1937-05-12,3½a.,Coronation of George VI and Elizabeth,greyish blue,13½ x 14,,Engraving,De La Rue & Co.,2,Lying,,,,
16,,,1939,½a,George VI and Scenes,green,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
17,,,1939,¾a,George VI and Scenes,reddish brown,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
18,,,1939,1a,George VI and Scenes,light blue,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
19,,,1939,1½a,George VI and Scenes,red,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
20,,,1939,2a,George VI and Scenes,dark brown,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
21,,,1939,2½a,George VI and Scenes,ultramarine,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
22,,,1939,3a,George VI and Scenes,carmine/dark brown,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
23,,,1939,8a,George VI and Scenes,orange,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
24,,,1939,14a,George VI and Scenes,light blue/brownish black,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
25,,,1937,1R,George VI and Scenes,light green,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
26,,,1939,2R,George VI and Scenes,reddish purple/bluish black,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
27,,,1939,5R,George VI and Scenes,olive/brown,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
28,,,1939,10R,George VI and Scenes,violet/sepia,12½,,Engraving,De La Rue & Co.,3,Lying,,,,
29,,,1946-10-15,1½a,Peace,carmine,13½ x 14,,Engraving,De La Rue & Co.,4,Lying,,,,
30,,,1946-10-15,2½a,Peace,blue,13½ x 14,,Engraving,De La Rue & Co.,4,Lying,,,,
31,,,1948-01-17,1½a,25th Anniv. of the marriage of King George VI and Queen Elizabeth,scarlet,14 x 14½,,Engraving,De La Rue & Co.,5,Lying,,,,
32,,,1948-01-17,10R,25th Anniv. of the marriage of King George VI and Queen Elizabeth,purple,11½ x 11,,Engraving,De La Rue & Co.,5,Lying,,,,
33,,,1949-10-09,2½a,75th Anniv. of the Universal Postal Union (U.P.U.),ultramarine,11 x 11½,,Engraving,De La Rue & Co.,6,Lying,,,,
34,,,1949-10-09,3a,75th Anniv. of the Universal Postal Union (U.P.U.),carmine,11 x 11½,,Engraving,De La Rue & Co.,6,Lying,,,,
35,,,1949-10-09,8a,75th Anniv. of the Universal Postal Union (U.P.U.),orange,11 x 11½,,Engraving,De La Rue & Co.,6,Lying,,,,
36,,,1949-10-09,1R,75th Anniv. of the Universal Postal Union (U.P.U.),blue,11 x 11½,,Engraving,De La Rue & Co.,7,Lying,,,,
37,,,1951-10-01,5c,George VI and Scenes overprinted in Black,light blue,12½,,Engraving,De La Rue & Co.,7,Lying,,,,
38,,,1951-10-01,10c,George VI and Scenes overprinted in Black,dark brown,12½,,Engraving,De La Rue & Co.,7,Lying,,,,
39,,,1951-10-01,15c,George VI and Scenes overprinted in Black,ultramarine,12½,,Engraving,De La Rue & Co.,7,Lying,,,,
40,,,1951-10-01,20c,George VI and Scenes overprinted in Black,carmine/brown,12½,,Engraving,De La Rue & Co.,7,Lying,,,,
41,,,1951-10-01,30c,George VI and Scenes overprinted in Red,orange,12½,,Engraving,De La Rue & Co.,7,Lying,,,,
42,,,1951-10-01,50c,George VI and Scenes overprinted in Black,orange,12½,,Engraving,De La Rue & Co.,7,Lying,,,,
43,,,1951-10-01,70c,George VI and Scenes overprinted in Black,light blue/brownish black,12½,,Engraving,De La Rue & Co.,7,Lying,,,,
44,,,1951-10-01,1Sh,George VI and Scenes overprinted in Black,light green,12½,,Engraving,De La Rue & Co.,7,Lying,,,,
45,,,1951-10-01,2Sh,George VI and Scenes overprinted in Black,reddish purple/bluish black,12½,,Engraving,De La Rue & Co.,7,Lying,,,,
46,,,1951-10-01,5Sh,George VI and Scenes overprinted in Black,olive/brown,12½,,Engraving,De La Rue & Co.,7,Lying,,,,
47,,,1951-10-01,10Sh,George VI and Scenes overprinted in Black,violet/sepia,12½,,Engraving,De La Rue & Co.,7,Lying,,,,
48,,,1953-06-02,15c,Coronation of Queen Elizabeth II,dark green/black,13½ x 13,,Engraving,De La Rue & Co.,8,Lying,,,,
49,,,1953,5c,Queen Elizabeth II and scenes,bluish green,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
50,,,1953,10c,Queen Elizabeth II and scenes,orange	,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
51,,,1953,15c,Queen Elizabeth II and scenes,bluish green,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
52,,,1953,25c,Queen Elizabeth II and scenes,carmine,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
53,,,1953,35c,Queen Elizabeth II and scenes,ultramarine,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
54,,,1953,50c,Queen Elizabeth II and scenes,blue,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
55,,,1953,70c,Queen Elizabeth II and scenes,grey,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
56,,,1953,1Sh,Queen Elizabeth II and scenes,purple/sepia,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
57,,,1953,1Sh/25c,Queen Elizabeth II and scenes,black/light blue,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
58,,,1953,2Sh,Queen Elizabeth II and scenes,carmine rose/sepia,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
59,,,1953,5Sh,Queen Elizabeth II and scenes,blue/sepia,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
60,,,1953,10Sh,Queen Elizabeth II and scenes,olive/sepia,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
61,,,1953,20Sh,Queen Elizabeth II and scenes,violet/dark brown,12 x 13½,,Engraving,De La Rue & Co.,9,Lying,,,,
