ID,Country,Related,FromYear,ToYear,FromDate,ToDate
aatar,Aatar,,,,,
abu-dhabi,Abu Dhabi,,,,,
aden,Aden,,,,,
aegean-islands,Aegean Islands,Italy,,,,
afghanistan,Afghanistan,,,,,
aitutaki,Aitutaki,,,,,
alaouites,Alaouites,,,,,
albania,Albania,,,,,
alderney,Alderney,,,,,
alexandretta,Alexandretta,,,,,
algeria,Algeria,,,,,
allenstein,Allenstein,,,,,
alwar,Alwar,India,,,,
ancachs,Ancachs,Peru,,,,
andorra,Andorra,,,,,
angola,Angola,,,,,
angra,Angra,,,,,
anguilla,Anguilla,,,,,
anjouan,Anjouan,,,,,
annam-tonkin,Annam & Tonkin,,,,,
annobon-corisco,Annobon & Corisco,Elobey,,,,
antigua,Antigua,,,,,
antioquia,Antioquia,Colombia,,,,
apurimac,Apurimac,Peru,,,,
arequipa,Arequipa,Peru,,,,
argentina,Argentina,,,,,
armenia,Armenia,,,,,
army-of-the-north,Army of the North,Russia,,,,
army-of-the-northwest,Army of the Northwest,Russia,,,,
aruba,Aruba,,,,,
ascension,Ascension,,,,,
australia,Australia,,,,,
australian-antarctic-territory,Australian Antarctic Territory,,,,,
austria,Austria,,,,,
austrian-offices-abroad,Austrian Offices Abroad,Austria,,,,
ayacucho,Ayacucho,Peru,,,,
azerbaijan,Azerbaijan,,,,,
azores,Azores,,,,,
baden,Baden,Germany,,,,
bahamas,Bahamas,,,,,
bahawalpur,Bahawalpur,Pakistan,,,,
bahrain,Bahrain,,,,,
bamra,Bamra,India,,,,
bangkok,Bangkok,,,,,
bangladesh,Bangladesh,,,,,
barbados,Barbados,,,,,
barbuda,Barbuda,,,,,
barwani,Barwani,India,,,,
basutoland,Basutoland,,,,,
batum,Batum,,,,,
bavaria,Bavaria,Germany,,,,
bechuanaland,Bechuanaland,,,,,
bechuanaland-protectorate,Bechuanaland Protectorate,,,,,
belarus,Belarus,,,,,
belgian-congo,Belgian Congo,,,,,
belgium,Belgium,,,,,
belize,Belize,,,,,
benin,Benin,,,,,
bergedorf,Bergedorf,Germany,,,,
bermuda,Bermuda,,,,,
bhopal,Bhopal,India,,,,
bhor,Bhor,India,,,,
bhutan,Bhutan,,,,,
bijawar,Bijawar,India,,,,
bohemia-and-moravia,Bohemia and Moravia,Czechoslovakia,,,,
bolivar,Bolivar,Colombia,,,,
bolivia,Bolivia,,,,,
bosnia-herzegovina,Bosnia & Herzegovina,,,,,
botswana,Botswana,,,,,
boyaca,Boyaca,Colombia,,,,
brazil,Brazil,,,,,
bremen,Bremen,Germany,,,,
british-antactic-territory,British Antactic Territory,,,,,
british-central-africa,British Central Africa,,,,,
british-columbia-vancouver-island,British Columbia & Vancouver Island,Canada,,,,
british-east-africa,British East Africa,,,,,
british-guiana,British Guiana,,,,,
british-honduras,British Honduras,,,,,
british-indian-ocean-territory,British Indian Ocean Territory,,,,,
british-new-hebrides,British New Hebrides,,,,,
british-offices-abroad,British Offices Abroad,Great Britain,,,,
brunei,Brunei,,,,,
brunswick,Brunswick,Germany,,,,
buenos-aires,Buenos Aires,Argentina,,,,
bulgaria,Bulgaria,,,,,
bundi,Bundi,India,,,,
burkina-gaso,Burkina Gaso,,,,,
burma,Burma,,,,,
burundi,Burundi,,,,,
bushire,Bushire,,,,,
bussahir,Bussahir,India,,,,
cabo-gacias-a-dois,Cabo Gacias A Dois,Nicaragua,,,,
cambodia,Cambodia,,,,,
cameroon,Cameroon,,,,,
cameroun,Cameroun,,,,,
campeche,Campeche,Mexico,,,,
canada,Canada,,,,,
cape-juby,Cape Juby,,,,,
cape-of-good-hope,Cape of Good Hope,,,,,
cape-verde,Cape Verde,,,,,
caribbean-netherlands,Caribbean Netherlands,,,,,
carlist-stamps,Carlist Stamps,Spain,,,,
caroline-islands,Caroline Islands,,,,,
castellorizo,Castellorizo,,,,,
cayman-islands,Cayman Islands,,,,,
central-african-republic,Central African Republic,,,,,
central-lithuania,Central Lithuania,,,,,
ceylon,Ceylon,,,,,
chachapoyas,Chachapoyas,Peru,,,,
chad,Chad,,,,,
chala,Chala,Peru,,,,
chamba,Chamba,India,,,,
charkhari,Charkhari,India,,,,
chiapas,Chiapas,Mexico,,,,
chiclayo,Chiclayo,Peru,,,,
chihuahua,Chihuahua,Mexico,,,,
chile,Chile,,,,,
china,China,,,,,
china-provinces,China Provinces,China,,,,
china-treaty-ports,China Treaty Ports,China,,,,
christmas-island,Christmas Island,,,,,
cilicia,Cilicia,,,,,
cochin,Cochin,India,,,,
cochin-china,Cochin China,,,,,
cocos-island,Cocos Island,,,,,
colombia,Colombia,,,,,
columbian-states,Columbian States,Colombia,,,,
comoro-islands,Comoro Islands,,,,,
congo-republic,Congo Republic,,,,,
cook-islands,Cook Islands,,,,,
cordoba,Cordoba,Argentina,,,,
corfu,Corfu,,,,,
corrientes,Corrientes,Argentina,,,,
costa-rica,Costa Rica,,,,,
crete,Crete,,,,,
croatia,Croatia,,,,,
cuautla,Cuautla,Mexico,,,,
cuba,Cuba,,,,,
cuernavaca,Cuernavaca,Mexico,,,,
cundinamarca,Cundinamarca,Colombia,,,,
curacao,Curacao,,,,,
cuzco,Cuzco,Peru,,,,
cyprus,Cyprus,,,,,
cyrenaica,Cyrenaica,,,,,
czech-legion,Czech Legion,Czechoslovakia,,,,
czech-republic,Czech Republic,,,,,
czechoslovakia,Czechoslovakia,,,,,
dahomey,Dahomey,,,,,
dalmatia,Dalmatia,,,,,
danish-west-indies,Danish West Indies,,,,,
danzig,Danzig,,,,,
denmark,Denmark,,,,,
dhar,Dhar,India,,,,
diego-suarez,Diego Suarez,,,,,
djibouti,Djibouti,,,,,
dominica,Dominica,,,,,
dominican-republic,Dominican Republic,,,,,
duttia,Duttia,India,,,,
east-africa-uganda-protectorates,East Africa & Uganda Protectorates,,,,,
eastern-rumelia,Eastern Rumelia,,,,,
eastern-silesia,Eastern Silesia,,,,,
ecuador,Ecuador,,,,,
egypt,Egypt,,,,,
el-salvador,El Salvador,,,,,
elobey,Elobey,,,,,
epirus,Epirus,,,,,
equatorial-guinea,Equatorial Guinea,,,,,
eritrea,Eritrea,,,,,
estonia,Estonia,,,,,
ethiopia,Ethiopia,,,,,
falkland-dependencies,Falkland Dependencies,,,,,
falkland-islands,Falkland Islands,Falkland Islands,,,,
far-eastern-republic,Far Eastern Republic,,,,,
faridkot,Faridkot,India,,,,
faroe-islands,Faroe Islands,,,,,
fernando-po,Fernando Po,,,,,
fiji,Fiji,,,,,
finland,Finland,,,,,
fiume,Fiume,,,,,
france,France,,,,,
french-andorra,French Andorra,,,,,
french-colonies,French Colonies,France,,,,
